reference,translation
I said that the AAU should've been shitcanned in 1920.,I said the AAU should have abolished in 1920.
"""He's mad!"" said Harry, staring at Krums dark head as it bobbed out into the middle of the lake.","""what a fool!"" Said Harry, his eyes wide open as Krum's dark head popped up in the middle of the lake."
"Got 30 fucking minutes to take a shower, get a new suit, get dressed and get to the fucking courthouse.","God, I have to shower in half an hour, get a new suit and get in court."
You mess it up anyway.,you screwed up anyway.
You're stepping on it! - Shut up.,watch out! You're stepping on my sandwich!
"You know, it's really one of my favorite parts of rehab, because it's like when all of the different weirdos get to be like, ""I'm sorry that I stole your car..."" Or, like, ""I'm sorry that I shit in your fish tank...""","you know, it's actually one of my favorite parts of rehab, 'cause all these crazy people have to say, ""I'm sorry I stole your car,"" or ""I'm sorry I punched you in the tank."""
"""I cannot live with the shame.","""I can't live with this pagan."
"Great idea, yeah, Cyril. Let's give an M-16 to a bunch of wild Indians!",we're going to give a bunch of wild Indians a sixteenth.
And tell the poomui not to shoot me.,and tell the pope not to shoot me.
Over. What's all these reports about circus clowns?,what's all the news about clowns?
"Looks like she left in a hurry, or she's just a filthy pig.","she seems to have left in a hurry, or she's a terrible mess."
What do you mean wandering around like a couple of strays?,what do you mean by wandering around like a bunch of losers?
¡ Sit down and Callens now!,sit down and shut up!
"No. That would imply emotions, and we've already established those are useless.","no, that would be an emotion, and we already agreed that they were useless."
What is this madness?,what kind of stupidity is that?
One of your sons will die.,one of your sons dies.
"""Silence!"" interrupted Idris sternly.","""shut up!"" Idris interrupted him sternly."
"'Grinning Monkey', Argo called him and Lin-tse had despised the youth for his cowardice.","""a monkey's teeth,"" Argo called him, and Lin-cche despised the young man for his cowardice."
They're like out of a fucking nightmare.,they're like a bad dream.
"Look, I just saved your life back there!",you shut up. I saved your life.
They killed the Havelocks.,so they killed Havelock.
"Oh, I had lovely tits.",I had beautiful breasts.
But doesn't look a damn thing like miss Renèe Zellweger.,she doesn't even look like Miss Renèe Zellweger.
Fucking kills me to see him like this.,it kills me to see him like that.
"To quit this Family Court shit, I'd do anything, Pedro.","I'll do anything to get my family in court, Pedro."
That somebody's about to fuck with this airport.,someone's going to make a big deal with this airport.
